# PBC Ising L=16, dps=50, h_fd=1e-05
#       beta              logZ/N            energy/N                  cv
    0.1165      0.709582378715     -0.238366217286      0.029043277553
    0.1166      0.709606226037     -0.238580219826      0.029096529273
    0.1167      0.709630094760     -0.238794247170      0.029149838636
    0.1168      0.709653984887     -0.239008299341      0.029203205674
    0.1169      0.709677896421     -0.239222376366      0.029256630420
    0.1170      0.709701829363     -0.239436478266      0.029310112908
    0.1171      0.709725783717     -0.239650605067      0.029363653171
    0.1172      0.709749759485     -0.239864756792      0.029417251240
    0.1173      0.709773756670     -0.240078933466      0.029470907150
    0.1174      0.709797775273     -0.240293135113      0.029524620934
    0.1175      0.709821815297     -0.240507361756      0.029578392624
    0.1176      0.709845876746     -0.240721613421      0.029632222253
    0.1177      0.709869959621     -0.240935890130      0.029686109856
    0.1178      0.709894063925     -0.241150191909      0.029740055464
    0.1179      0.709918189660     -0.241364518781      0.029794059112
    0.1180      0.709942336829     -0.241578870770      0.029848120832
    0.1181      0.709966505435     -0.241793247902      0.029902240658
    0.1182      0.709990695480     -0.242007650199      0.029956418623
    0.1183      0.710014906966     -0.242222077686      0.030010654761
    0.1184      0.710039139896     -0.242436530388      0.030064949105
    0.1185      0.710063394273     -0.242651008328      0.030119301689
    0.1186      0.710087670099     -0.242865511530      0.030173712546
    0.1187      0.710111967376     -0.243080040020      0.030228181709
    0.1188      0.710136286108     -0.243294593821      0.030282709213
    0.1189      0.710160626296     -0.243509172957      0.030337295090
    0.1190      0.710184987943     -0.243723777453      0.030391939376
    0.1191      0.710209371052     -0.243938407332      0.030446642102
    0.1192      0.710233775625     -0.244153062620      0.030501403303
    0.1193      0.710258201665     -0.244367743340      0.030556223014
    0.1194      0.710282649175     -0.244582449517      0.030611101266
    0.1195      0.710307118156     -0.244797181175      0.030666038096
    0.1196      0.710331608612     -0.245011938338      0.030721033535
    0.1197      0.710356120545     -0.245226721031      0.030776087620
    0.1198      0.710380653957     -0.245441529277      0.030831200382
    0.1199      0.710405208851     -0.245656363102      0.030886371857
    0.1200      0.710429785230     -0.245871222529      0.030941602078
    0.1201      0.710454383097     -0.246086107583      0.030996891080
    0.1202      0.710479002453     -0.246301018289      0.031052238896
    0.1203      0.710503643301     -0.246515954670      0.031107645561
    0.1204      0.710528305645     -0.246730916751      0.031163111109
    0.1205      0.710552989485     -0.246945904556      0.031218635575
    0.1206      0.710577694826     -0.247160918110      0.031274218992
